Subject,RPPG PR,GT PR,RPPG MeanNN,GT MeanNN,RPPG SDNN,GT SDNN,RPPG RMSSD,GT RMSSD,RPPG pNN50,GT pNN50,RPPG LF,GT LF,RPPG HF,GT HF,RPPG LF/HF,GT LF/HF
s41,88.20347584923897,97.3050235561095,766.4224664224664,655.2805656934306,283.41080173694826,176.70065761767174,406.75301611213376,248.7592263645013,86.32478632478633,74.08759124087592,0.025132073384302917,0.03177807283688047,0.09821414131315548,0.08997343091478596,0.2558905779583144,0.35319396530490826
s42,88.67617361086924,93.93628301605966,787.287602265576,675.5306603773585,354.1138896270991,161.61908829927006,485.130161145093,229.967635419499,89.42731277533039,75.47169811320755,0.028337804509007074,0.015514259455065845,0.06769528966507621,0.08625991683333324,0.41860821704447865,0.17985479263841236
s43,78.36241449698745,93.70127013052159,875.9103641456583,675.6343984962406,330.0321256325816,162.18277245195577,439.87897839389206,255.84989472750516,90.19607843137256,82.70676691729322,0.026485651203060664,0.025705153220291026,0.07772969095050661,0.0759036569643516,0.340740467113462,0.3386550035706914
s44,67.7356861080491,80.54762067886267,1012.8078817733991,811.0859728506788,381.1968045662642,218.7961346573131,490.54286169756824,270.339594017876,90.80459770114942,77.37556561085974,0.05493639316187983,0.03525622965886526,0.06318141447838325,0.03179690389798911,0.8695024259179199,1.1087944213680165
s45,64.15878977961512,87.83887515150823,1164.3323996265174,712.4875992063492,645.8516808192852,142.9897448733102,940.8385774330533,216.57372914179243,91.50326797385621,76.19047619047619,0.05138110289954079,0.04188892641532674,0.032129720191674184,0.09035156015591342,1.5991767931068146,0.4636215062921097
s46,68.00409412414865,91.83087820280058,1060.7356715141148,672.5772471910112,500.3679948057247,117.84729934528096,659.4698006721193,162.9271154483141,89.82035928143712,41.947565543071164,0.052228910701303165,0.03970490656218146,0.053528647240201656,0.06242601814810421,0.9757188607239387,0.6360313814663389
s47,91.08965204845883,101.92978933078487,712.4849939975991,631.2169894366198,223.83623368134513,174.3592518240616,318.563684334062,239.0941275355722,81.09243697478992,78.16901408450704,0.021912487836913883,0.039676188580929465,0.08407648037361576,0.0588069744836785,0.2606256558259817,0.6746850850478856
s48,83.04281391683026,103.15591586743847,830.583501006036,618.2112068965517,339.1417266435346,160.23058678763547,436.723897678195,223.98389784620045,86.3849765258216,75.51724137931033,0.04497418067693643,0.030014642865547246,0.05240445921324491,0.0457040644130935,0.8582128573052707,0.6567171487039241
s49,70.47436667754269,97.6822124522301,1008.0256821829855,664.4097222222222,442.2198807722379,193.32777987065927,577.9251364944569,276.5395109687922,94.9438202247191,84.07407407407408,0.06005166202578274,0.036618990100368176,0.08614022114373249,0.08422467391953459,0.6971384706057498,0.4347774636130111
s50,64.18485289808368,104.67877314444272,1238.0281690140846,582.8936688311688,704.7322360001637,93.21965767502891,953.0807965625888,119.57978239950663,92.95774647887323,18.506493506493506,0.039942148682612866,0.03484806357009004,0.061764310564709476,0.04995092403642453,0.6466865462825189,0.6976460244194604
s51,55.15062653511846,79.60657620159921,1372.544642857143,789.8540748898679,831.5133555567385,158.01740796347207,1174.1826113329,216.03932474629772,92.1875,74.8898678414097,0.06340631372919482,0.06026811944055872,0.026106825558213444,0.09419180302852866,2.428725529567367,0.6398446308783877
s52,78.50363398129788,90.77504458089899,876.4705882352941,709.4861660079051,358.3338175454791,194.51739745590868,491.0335056689662,259.3187421060045,90.19607843137256,82.6086956521739,0.05087327171324462,0.04450013874892097,0.06312814201831422,0.05308794720044688,0.8058731032902201,0.8382343092095748
s53,78.05913780567661,87.1723854161178,872.6890756302521,751.3786764705883,313.5658247560103,217.75681295477253,429.1715245056064,272.45387050037095,90.19607843137256,81.09243697478992,0.063333818927847,0.011559416909789212,0.10373763014974903,0.03520839198286828,0.6105192381628762,0.32831425290350663
s54,79.19595798912096,95.56300296551198,896.1566352429296,650.9284420289855,388.90102039176605,129.55474964775,541.1358316894127,174.35707793204153,91.37055837563452,62.31884057971014,0.03365970188274364,0.04710516178276538,0.0978071807326512,0.08081249100511109,0.3441434629912295,0.5828945648982179
s55,80.27727944848958,91.87477403989335,992.090395480226,676.002358490566,651.7901530830836,123.51714799596292,778.1990054107391,150.36871704360888,88.70056497175142,58.11320754716981,0.0706624505333444,0.011661139129392624,0.024299205871958284,0.020942231347490042,2.9080148094423994,0.5568241003502347
s56,84.61727243408272,89.7580135643641,864.039408866995,711.9295634920635,458.7188728393703,179.90723109925497,591.4354726995557,246.29980839929593,89.65517241379311,80.55555555555556,0.05164528092409595,0.04014877061587049,0.06911562475346184,0.09148689764899902,0.7472301828756769,0.4388472190838331
